Target,xF bin,Mass bin,Raw Cross Section \pm stat. error \pm syst. error,Unfolded (clean) Cross Section (iter=3) \pm stat. error \pm syst. error,Unfolded (messy) Cross Section (iter=3) \pm stat. error \pm syst. error,Unfolded (clean) Cross Section (iter=4) \pm stat. error \pm syst. error,Unfolded (messy) Cross Section (iter=4) \pm stat. error \pm syst. error,Unfolding syst (clean) [%],Unfolding syst (messy) [%]
LD2,0.55 <= xF < 0.60,4.20 <= Mass < 4.50,0.802721 \pm 0.034483 \pm 0.034467,0.989815 \pm 0.029662 \pm 0.042500,0.979518 \pm 0.030462 \pm 0.042058,-,-,4.35,4.63
LD2,0.55 <= xF < 0.60,4.50 <= Mass < 4.80,0.551783 \pm 0.027999 \pm 0.022149,0.560235 \pm 0.022258 \pm 0.022489,0.571855 \pm 0.021710 \pm 0.022955,-,-,6.56,6.25
LD2,0.55 <= xF < 0.60,4.80 <= Mass < 5.10,0.480213 \pm 0.025096 \pm 0.017703,0.458133 \pm 0.020234 \pm 0.016889,0.462020 \pm 0.020084 \pm 0.017032,-,-,0.56,1.03
LD2,0.55 <= xF < 0.60,5.10 <= Mass < 5.40,0.293769 \pm 0.019436 \pm 0.010166,0.332057 \pm 0.016031 \pm 0.011491,0.329471 \pm 0.016050 \pm 0.011401,-,-,2.31,1.73
LD2,0.55 <= xF < 0.60,5.40 <= Mass < 5.70,0.214730 \pm 0.017057 \pm 0.007004,0.186988 \pm 0.012869 \pm 0.006100,0.191267 \pm 0.013483 \pm 0.006239,-,-,0.84,0.90
LD2,0.55 <= xF < 0.60,5.70 <= Mass < 6.00,0.102724 \pm 0.013664 \pm 0.003281,0.110882 \pm 0.009841 \pm 0.003542,0.109041 \pm 0.009502 \pm 0.003483,-,-,3.26,2.85
LD2,0.55 <= xF < 0.60,6.00 <= Mass < 6.30,0.092703 \pm 0.013267 \pm 0.002899,0.084765 \pm 0.009671 \pm 0.002651,0.081891 \pm 0.009252 \pm 0.002561,-,-,1.43,1.48
LD2,0.55 <= xF < 0.60,6.30 <= Mass < 6.60,0.063221 \pm 0.010338 \pm 0.001870,0.061520 \pm 0.007112 \pm 0.001820,0.062189 \pm 0.007069 \pm 0.001840,-,-,3.63,3.23
LD2,0.55 <= xF < 0.60,6.60 <= Mass < 6.90,0.055950 \pm 0.010049 \pm 0.001742,0.052608 \pm 0.007392 \pm 0.001637,0.051872 \pm 0.007177 \pm 0.001615,-,-,4.58,4.47
LD2,0.55 <= xF < 0.60,6.90 <= Mass < 7.50,0.024857 \pm 0.004971 \pm 0.000614,0.024368 \pm 0.004371 \pm 0.000602,0.023416 \pm 0.004254 \pm 0.000579,-,-,2.28,2.17
LD2,0.55 <= xF < 0.60,7.50 <= Mass < 8.80,0.007649 \pm 0.002419 \pm 0.000187,0.006025 \pm 0.002225 \pm 0.000148,0.006567 \pm 0.002294 \pm 0.000161,-,-,6.89,6.38
LD2,0.55 <= xF < 0.60,8.80 <= Mass < 10.00,0.002398 \pm 0.002398 \pm 0.000148,0.001755 \pm 0.002194 \pm 0.000108,0.002010 \pm 0.002280 \pm 0.000124,-,-,5.22,4.96
LD2,0.60 <= xF < 0.65,3.90 <= Mass < 4.20,1.034566 \pm 0.039997 \pm 0.052336,1.198846 \pm 0.049472 \pm 0.060646,1.192821 \pm 0.048932 \pm 0.060342,-,-,6.66,5.83
LD2,0.60 <= xF < 0.65,4.20 <= Mass < 4.50,0.636025 \pm 0.030774 \pm 0.028787,0.875194 \pm 0.026251 \pm 0.039612,0.859570 \pm 0.025862 \pm 0.038905,-,-,2.98,2.49
LD2,0.60 <= xF < 0.65,4.50 <= Mass < 4.80,0.486141 \pm 0.024310 \pm 0.019424,0.449951 \pm 0.019928 \pm 0.017978,0.473532 \pm 0.020599 \pm 0.018921,-,-,5.15,4.80
LD2,0.60 <= xF < 0.65,4.80 <= Mass < 5.10,0.318699 \pm 0.021038 \pm 0.012489,0.348548 \pm 0.017111 \pm 0.013659,0.343258 \pm 0.016394 \pm 0.013452,-,-,2.14,1.67
LD2,0.60 <= xF < 0.65,5.10 <= Mass < 5.40,0.207334 \pm 0.015612 \pm 0.007411,0.210488 \pm 0.012644 \pm 0.007523,0.212366 \pm 0.012900 \pm 0.007590,-,-,0.90,0.73
LD2,0.60 <= xF < 0.65,5.40 <= Mass < 5.70,0.140852 \pm 0.013338 \pm 0.004746,0.130899 \pm 0.010159 \pm 0.004411,0.127780 \pm 0.009948 \pm 0.004306,-,-,0.90,1.18
LD2,0.60 <= xF < 0.65,5.70 <= Mass < 6.00,0.100964 \pm 0.012464 \pm 0.003393,0.100734 \pm 0.009273 \pm 0.003385,0.098324 \pm 0.008932 \pm 0.003304,-,-,1.45,1.11
LD2,0.60 <= xF < 0.65,6.00 <= Mass < 6.30,0.084010 \pm 0.012011 \pm 0.002723,0.083450 \pm 0.008830 \pm 0.002705,0.081711 \pm 0.008531 \pm 0.002649,-,-,3.30,3.34
LD2,0.60 <= xF < 0.65,6.30 <= Mass < 6.60,0.059817 \pm 0.009704 \pm 0.001974,0.055270 \pm 0.007486 \pm 0.001824,0.058790 \pm 0.007525 \pm 0.001940,-,-,2.47,2.72
LD2,0.60 <= xF < 0.65,6.60 <= Mass < 6.90,0.034752 \pm 0.008841 \pm 0.001165,0.035059 \pm 0.006077 \pm 0.001176,0.033567 \pm 0.005996 \pm 0.001126,-,-,2.22,2.26
LD2,0.60 <= xF < 0.65,6.90 <= Mass < 7.50,0.016499 \pm 0.004260 \pm 0.000456,0.014864 \pm 0.003618 \pm 0.000411,0.015534 \pm 0.003604 \pm 0.000429,-,-,4.33,4.63
LD2,0.60 <= xF < 0.65,7.50 <= Mass < 8.80,0.006772 \pm 0.002394 \pm 0.000218,0.005187 \pm 0.002291 \pm 0.000167,0.005015 \pm 0.002214 \pm 0.000162,-,-,3.86,4.40
LD2,0.65 <= xF < 0.70,3.90 <= Mass < 4.20,0.643455 \pm 0.031648 \pm 0.033148,0.815637 \pm 0.041410 \pm 0.042018,0.797111 \pm 0.039985 \pm 0.041064,-,-,7.37,8.23
LD2,0.65 <= xF < 0.70,4.20 <= Mass < 4.50,0.420195 \pm 0.023282 \pm 0.019846,0.554151 \pm 0.021147 \pm 0.026173,0.582110 \pm 0.020961 \pm 0.027494,-,-,4.43,4.09
LD2,0.65 <= xF < 0.70,4.50 <= Mass < 4.80,0.282971 \pm 0.018338 \pm 0.012309,0.288837 \pm 0.015011 \pm 0.012564,0.283232 \pm 0.014675 \pm 0.012320,-,-,6.01,7.60
LD2,0.65 <= xF < 0.70,4.80 <= Mass < 5.10,0.207500 \pm 0.016092 \pm 0.008436,0.186161 \pm 0.012043 \pm 0.007568,0.186337 \pm 0.011924 \pm 0.007575,-,-,2.32,2.30
LD2,0.65 <= xF < 0.70,5.10 <= Mass < 5.40,0.124244 \pm 0.013266 \pm 0.004859,0.138722 \pm 0.010861 \pm 0.005425,0.142358 \pm 0.010936 \pm 0.005567,-,-,0.85,1.61
LD2,0.65 <= xF < 0.70,5.40 <= Mass < 5.70,0.108128 \pm 0.010977 \pm 0.004051,0.096037 \pm 0.008282 \pm 0.003598,0.093239 \pm 0.007641 \pm 0.003493,-,-,3.46,3.46
LD2,0.65 <= xF < 0.70,5.70 <= Mass < 6.00,0.069810 \pm 0.009688 \pm 0.002583,0.069782 \pm 0.007413 \pm 0.002582,0.069816 \pm 0.007394 \pm 0.002583,-,-,1.82,1.79
LD2,0.65 <= xF < 0.70,6.00 <= Mass < 6.30,0.041803 \pm 0.008382 \pm 0.001571,0.040805 \pm 0.006151 \pm 0.001534,0.041243 \pm 0.005962 \pm 0.001550,-,-,2.76,3.23
LD2,0.65 <= xF < 0.70,6.30 <= Mass < 6.60,0.022200 \pm 0.006388 \pm 0.000808,0.022335 \pm 0.004304 \pm 0.000812,0.021246 \pm 0.004101 \pm 0.000773,-,-,2.55,3.03
LD2,0.65 <= xF < 0.70,6.60 <= Mass < 6.90,0.019632 \pm 0.005667 \pm 0.000704,0.013554 \pm 0.003482 \pm 0.000486,0.013324 \pm 0.003301 \pm 0.000478,-,-,3.02,3.21
LD2,0.65 <= xF < 0.70,6.90 <= Mass < 7.50,0.007164 \pm 0.002708 \pm 0.000231,0.007464 \pm 0.002352 \pm 0.000241,0.007458 \pm 0.002280 \pm 0.000241,-,-,4.88,4.65
LD2,0.65 <= xF < 0.70,7.50 <= Mass < 8.80,0.005031 \pm 0.001779 \pm 0.000158,0.004210 \pm 0.001808 \pm 0.000132,0.004293 \pm 0.001815 \pm 0.000135,-,-,4.40,5.01
LD2,0.70 <= xF < 0.75,3.90 <= Mass < 4.20,0.362302 \pm 0.026109 \pm 0.018864,0.508302 \pm 0.037112 \pm 0.026466,0.519265 \pm 0.039404 \pm 0.027036,-,-,7.06,6.75
LD2,0.70 <= xF < 0.75,4.20 <= Mass < 4.50,0.287146 \pm 0.019415 \pm 0.013218,0.335619 \pm 0.016044 \pm 0.015449,0.329175 \pm 0.016536 \pm 0.015153,-,-,2.09,1.58
LD2,0.70 <= xF < 0.75,4.50 <= Mass < 4.80,0.179849 \pm 0.014634 \pm 0.007368,0.193392 \pm 0.012250 \pm 0.007923,0.197363 \pm 0.012191 \pm 0.008086,-,-,6.67,6.35
LD2,0.70 <= xF < 0.75,4.80 <= Mass < 5.10,0.114484 \pm 0.012248 \pm 0.004295,0.102425 \pm 0.008857 \pm 0.003843,0.106931 \pm 0.009192 \pm 0.004012,-,-,5.11,5.36
LD2,0.70 <= xF < 0.75,5.10 <= Mass < 5.40,0.083885 \pm 0.009886 \pm 0.003083,0.085614 \pm 0.007837 \pm 0.003146,0.080809 \pm 0.007269 \pm 0.002970,-,-,1.04,1.06
LD2,0.70 <= xF < 0.75,5.40 <= Mass < 5.70,0.066957 \pm 0.008943 \pm 0.002295,0.068284 \pm 0.007004 \pm 0.002340,0.068480 \pm 0.006988 \pm 0.002347,-,-,4.73,4.62
LD2,0.70 <= xF < 0.75,5.70 <= Mass < 6.00,0.049693 \pm 0.007857 \pm 0.001678,0.045637 \pm 0.005959 \pm 0.001541,0.045587 \pm 0.005869 \pm 0.001539,-,-,2.59,3.79
LD2,0.70 <= xF < 0.75,6.00 <= Mass < 6.30,0.024580 \pm 0.006303 \pm 0.000826,0.025480 \pm 0.004583 \pm 0.000857,0.026614 \pm 0.004741 \pm 0.000895,-,-,3.76,3.63
LD2,0.70 <= xF < 0.75,6.30 <= Mass < 6.60,0.013771 \pm 0.004355 \pm 0.000436,0.011085 \pm 0.003530 \pm 0.000351,0.010477 \pm 0.003189 \pm 0.000331,-,-,6.45,7.79
LD2,0.70 <= xF < 0.75,6.60 <= Mass < 6.90,0.007846 \pm 0.005785 \pm 0.000335,0.006920 \pm 0.003255 \pm 0.000296,0.006756 \pm 0.003123 \pm 0.000289,-,-,5.21,5.84
LD2,0.70 <= xF < 0.75,6.90 <= Mass < 7.50,0.003697 \pm 0.002264 \pm 0.000136,0.002970 \pm 0.001777 \pm 0.000109,0.002942 \pm 0.001733 \pm 0.000108,-,-,5.55,5.55
LD2,0.70 <= xF < 0.75,7.50 <= Mass < 8.80,0.001321 \pm 0.000934 \pm 0.000035,0.000975 \pm 0.000893 \pm 0.000026,0.000991 \pm 0.000890 \pm 0.000026,-,-,6.15,6.43
LD2,0.75 <= xF < 0.80,3.90 <= Mass < 4.20,0.252827 \pm 0.019767 \pm 0.014094,0.349914 \pm 0.028227 \pm 0.019506,0.334075 \pm 0.027462 \pm 0.018623,-,-,8.22,8.74
LD2,0.75 <= xF < 0.80,4.20 <= Mass < 4.50,0.143871 \pm 0.012510 \pm 0.007018,0.183911 \pm 0.011220 \pm 0.008971,0.188771 \pm 0.011201 \pm 0.009208,-,-,5.70,4.44
LD2,0.75 <= xF < 0.80,4.50 <= Mass < 4.80,0.090485 \pm 0.011307 \pm 0.003547,0.095810 \pm 0.008961 \pm 0.003756,0.103840 \pm 0.009353 \pm 0.004071,-,-,10.32,11.12
LD2,0.75 <= xF < 0.80,4.80 <= Mass < 5.10,0.075533 \pm 0.008814 \pm 0.002635,0.068576 \pm 0.006771 \pm 0.002392,0.069472 \pm 0.006868 \pm 0.002423,-,-,1.25,1.80
LD2,0.75 <= xF < 0.80,5.10 <= Mass < 5.40,0.067464 \pm 0.008778 \pm 0.002218,0.063496 \pm 0.006974 \pm 0.002088,0.062087 \pm 0.006728 \pm 0.002041,-,-,5.02,4.61
LD2,0.75 <= xF < 0.80,5.40 <= Mass < 5.70,0.040439 \pm 0.007082 \pm 0.001255,0.041840 \pm 0.005666 \pm 0.001298,0.040640 \pm 0.005526 \pm 0.001261,-,-,1.81,2.18
LD2,0.75 <= xF < 0.80,5.70 <= Mass < 6.00,0.027408 \pm 0.006259 \pm 0.000848,0.026935 \pm 0.004626 \pm 0.000834,0.026662 \pm 0.004573 \pm 0.000825,-,-,2.16,2.05
LD2,0.75 <= xF < 0.80,6.00 <= Mass < 6.30,0.016801 \pm 0.004490 \pm 0.000551,0.016504 \pm 0.003440 \pm 0.000541,0.016073 \pm 0.003324 \pm 0.000527,-,-,1.97,2.07
LD2,0.75 <= xF < 0.80,6.30 <= Mass < 6.60,0.013653 \pm 0.004317 \pm 0.000401,0.010534 \pm 0.002779 \pm 0.000309,0.010814 \pm 0.002902 \pm 0.000317,-,-,2.73,2.83
LD2,0.75 <= xF < 0.80,6.60 <= Mass < 6.90,0.005791 \pm 0.002896 \pm 0.000175,0.005258 \pm 0.001994 \pm 0.000159,0.005317 \pm 0.001943 \pm 0.000161,-,-,7.93,8.94
LD2,0.75 <= xF < 0.80,6.90 <= Mass < 7.50,0.002611 \pm 0.001508 \pm 0.000069,0.002385 \pm 0.001241 \pm 0.000063,0.002502 \pm 0.001225 \pm 0.000066,-,-,8.91,9.55
LD2,0.75 <= xF < 0.80,7.50 <= Mass < 8.80,0.002333 \pm 0.001166 \pm 0.000065,0.002067 \pm 0.001209 \pm 0.000057,0.002053 \pm 0.001210 \pm 0.000057,-,-,5.12,6.09
LD2,0.80 <= xF < 0.85,3.90 <= Mass < 4.20,0.127444 \pm 0.014829 \pm 0.007247,0.174629 \pm 0.020573 \pm 0.009930,0.170741 \pm 0.020172 \pm 0.009709,-,-,7.55,7.39
LD2,0.80 <= xF < 0.85,4.20 <= Mass < 4.50,0.064410 \pm 0.008944 \pm 0.003140,0.078566 \pm 0.007786 \pm 0.003830,0.081872 \pm 0.007824 \pm 0.003991,-,-,6.93,6.31
LD2,0.80 <= xF < 0.85,4.50 <= Mass < 4.80,0.041462 \pm 0.008131 \pm 0.001633,0.040629 \pm 0.006266 \pm 0.001600,0.039144 \pm 0.006296 \pm 0.001542,-,-,9.64,9.43
LD2,0.80 <= xF < 0.85,4.80 <= Mass < 5.10,0.029887 \pm 0.005704 \pm 0.001086,0.025583 \pm 0.004306 \pm 0.000930,0.027296 \pm 0.004380 \pm 0.000992,-,-,2.92,2.59
LD2,0.80 <= xF < 0.85,5.10 <= Mass < 5.40,0.023758 \pm 0.005725 \pm 0.000814,0.022430 \pm 0.004334 \pm 0.000769,0.022372 \pm 0.004314 \pm 0.000767,-,-,3.73,3.22
LD2,0.80 <= xF < 0.85,5.40 <= Mass < 5.70,0.017590 \pm 0.004542 \pm 0.000620,0.020387 \pm 0.004137 \pm 0.000718,0.019720 \pm 0.003939 \pm 0.000695,-,-,5.92,4.70
LD2,0.80 <= xF < 0.85,5.70 <= Mass < 6.00,0.015367 \pm 0.004436 \pm 0.000476,0.010861 \pm 0.002975 \pm 0.000337,0.011689 \pm 0.003204 \pm 0.000362,-,-,3.71,2.73
LD2,0.80 <= xF < 0.85,6.00 <= Mass < 6.30,0.002134 \pm 0.001509 \pm 0.000074,0.006219 \pm 0.001921 \pm 0.000217,0.005975 \pm 0.001817 \pm 0.000208,-,-,9.85,10.30
LD2,0.80 <= xF < 0.85,6.30 <= Mass < 6.60,0.008598 \pm 0.003510 \pm 0.000259,0.005657 \pm 0.002194 \pm 0.000170,0.005725 \pm 0.002191 \pm 0.000172,-,-,3.63,3.88
LD2,0.80 <= xF < 0.85,6.60 <= Mass < 6.90,0.005156 \pm 0.002977 \pm 0.000151,0.005805 \pm 0.002234 \pm 0.000170,0.005525 \pm 0.002153 \pm 0.000162,-,-,10.76,10.25
LD2,0.80 <= xF < 0.85,6.90 <= Mass < 7.50,0.003455 \pm 0.001995 \pm 0.000094,0.002684 \pm 0.001778 \pm 0.000073,0.002707 \pm 0.001746 \pm 0.000073,-,-,7.06,6.59
LD2,0.80 <= xF < 0.85,8.80 <= Mass < 10.00,0.001798 \pm 0.001798 \pm 0.000053,0.001895 \pm 0.001951 \pm 0.000056,0.001862 \pm 0.001917 \pm 0.000055,-,-,2.00,2.03
